記録の分類_タイプ産地or標本記録or文献記録or疑わしいかどうか,和名,学名,Latitude_assumed,Longitude_assumed,日付,都道府県_jp,島_jp,文献ID,掲載ページ,文献中の和名,文献中で有効とされる学名_文献紹介など、その文献中で有効とされる学名がわからない場合はハイフンを記入してください。,場所（原文ママ）
7_疑わしい文献記録,ミクニタマヤスデ,Hyleoglomeris insularum,34.14143724,135.3940369,1929-X,和歌山県,本州,L00015,2,-,Hyleoglomeris insularum,Northern Kii
7_疑わしい文献記録,ヤマトオビヤスデ,Epanerchodus japonicus,40.596817,140.9531709,1928-VII-08,青森県,本州,L00015,2,-,Epanerchodus japonicus,"Hot Spring, Tsuta, Aomori Prefecture"
7_疑わしい文献記録,ヤマトオビヤスデ,Epanerchodus japonicus,35.459028,139.567417,1933-IX,神奈川県,本州,L00015,2,-,Epanerchodus japonicus,Yokohama
7_疑わしい文献記録,ヒガシオビヤスデ,Epanerchodus orientalis,35.459028,139.567417,-,神奈川県,本州,L00015,2,-,Epanerchodus orientalis orientalis,Yokohama
7_疑わしい文献記録,ノトオビヤスデ,Epanerchodus tremorum,39.45360369,141.0676375,1928-VIII-28,岩手県,本州,L00015,4,-,Epanerchodus tremorum,"Hot Spring, Hanamaki-Iwate Prefecture"
7_疑わしい文献記録,ヤマトアカヤスデ,Nedyopus patrioticus patrioticus,38.497668,140.108578,1926-VI-25,山形県,-,L00015,6,-,Nedyopus cingulatus,"Kanujo-Mura, Yamagata Prefecture"
7_疑わしい文献記録,キリシマジーケルヤスデ,Cawjeekelia nordenskioeldi,40.596817,140.9531709,1928-VII-08,青森県,本州,L00015,6,-,Oxidus nordenskiöldi,"Hot Spring, Tsuta, Aomori Prefecture"
7_疑わしい文献記録,キリシマジーケルヤスデ,Cawjeekelia nordenskioeldi,34.14143724,135.3940369,1929-X,和歌山県,本州,L00015,6,-,Oxidus nordenskiöldi,Northern Kii
7_疑わしい文献記録,ミコシヤスデ属の一種,Diplomaragna sp.,38.25196791,140.8650568,1928-XI,宮城県,本州,L00015,10,-,Syntelopodeuma species,Sendai
7_疑わしい文献記録,ヒロウミヤスデ,Okeanobates serratus,38.4111516,140.7092231,1928-X,宮城県,本州,L00015,11,-,Okeanobates serratus,"Izumigo-dake, Miyagi Prefecture, near Sendai"
7_疑わしい文献記録,フトケヤスデ,Tokyosoma takakuwai,33.688972,130.811361,-,福岡県,九州,L00030,14,フトケヤスデ,Tokyosoma takakuwai,岩屋鍾乳洞 第1洞
7_疑わしい文献記録,タンバアカヤスデ,Nedyopus tambanus tambanus,35.168164,136.473112,1980-VI-02,三重県,本州,L00432,244,タンバアカヤスデ,Nedyopus tambanus,大貝戸坑
7_疑わしい文献記録,タンバアカヤスデ,Nedyopus tambanus tambanus,35.294952,136.366691,1975-VIII-08,滋賀県,本州,L00432,244,タンバアカヤスデ,Nedyopus tambanus,谷山谷のこおもり穴
7_疑わしい文献記録,タンバアカヤスデ,Nedyopus tambanus tambanus,35.294952,136.366691,1976-X-10,滋賀県,本州,L00432,244,タンバアカヤスデ,Nedyopus tambanus,谷山谷のこおもり穴
7_疑わしい文献記録,ホルストネジアシヤスデ,Helicorthomorpha holstii,25.7461098,123.4747852,-,沖縄県,魚釣島,L00943,110,ホルストネジアシヤスデ,Helicorthomorpha holstii holstii,Uotsuri jima
7_疑わしい文献記録,ダケヤスデ,Aponedyopus montanus,25.7461098,123.4747852,-,沖縄県,魚釣島,L00943,110,ダケヤスデ,Aponedyopus montanus,Uotsuri jima
7_疑わしい文献記録,（リュウキュウアマビコヤスデ）,Riukiaria variata,25.7461098,123.4747852,-,沖縄県,魚釣島,L00943,111,リュウキュウアマビコヤスデ,Rhysodesmus variatus,Uotsuri jima
7_疑わしい文献記録,ヤマシナフジヤスデ,Anaulaciulus yamashinai,25.7461098,123.4747852,-,沖縄県,魚釣島,L00943,111,ヤマシナフジヤスデ,Fusiulus yamashinai,Uotsuri jima
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,38.106577,138.292214,1969-VII-29,新潟県,佐渡島,L00954,19,-,Epanerchodus sp.,戸地川流域沿い
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,38.1464212,138.3229594,1969-VII-31,新潟県,佐渡島,L00954,19,-,Epanerchodus sp.,石花川流域沿い
7_疑わしい文献記録,ヤマトタマヤスデ,Hyleoglomeris japonica,36.8529167,140.2097422,1981-X-06,栃木県,本州,L01323,24,ヤマトタマヤスデ,Hyleoglomeris japonica,雲巌寺
7_疑わしい文献記録,ヤマトタマヤスデ,Hyleoglomeris japonica,36.70206877,140.2385303,1988-XI-27,栃木県,本州,L01323,24,ヤマトタマヤスデ,Hyleoglomeris japonica,鷲子山
7_疑わしい文献記録,ヤマトタマヤスデ,Hyleoglomeris japonica,36.70206877,140.2385303,1988-XI-28,栃木県,本州,L01323,24,ヤマトタマヤスデ,Hyleoglomeris japonica,鷲子山
7_疑わしい文献記録,ヤマトタマヤスデ,Hyleoglomeris japonica,36.70206877,140.2385303,1981-III-16,栃木県,本州,L01323,24,ヤマトタマヤスデ,Hyleoglomeris japonica,鷲子山
7_疑わしい文献記録,ヤマトタマヤスデ,Hyleoglomeris japonica,36.41721433,140.1427738,1983-III-16,栃木県,本州,L01323,24,ヤマトタマヤスデ,Hyleoglomeris japonica,雨巻山
7_疑わしい文献記録,ヤマトタマヤスデ,Hyleoglomeris japonica,36.41721433,140.1427738,1985-VI-21,栃木県,本州,L01323,24,ヤマトタマヤスデ,Hyleoglomeris japonica,雨巻山
7_疑わしい文献記録,ミコシヤスデ,Diplomaragna gracilipes,36.93391344,140.2624448,1984-IX-06,栃木県,本州,L01323,24,ミコシヤスデ,Syntelopodeuma gracilipes,八溝山
7_疑わしい文献記録,ミコシヤスデ,Diplomaragna gracilipes,36.93391344,140.2624448,1985-XI-25,栃木県,本州,L01323,24,ミコシヤスデ,Syntelopodeuma gracilipes,八溝山
7_疑わしい文献記録,ミコシヤスデ,Diplomaragna gracilipes,36.93391344,140.2624448,1988-XI-27,栃木県,本州,L01323,24,ミコシヤスデ,Syntelopodeuma gracilipes,八溝山
7_疑わしい文献記録,ミコシヤスデ,Diplomaragna gracilipes,36.93391344,140.2624448,1988-XII-04,栃木県,本州,L01323,24,ミコシヤスデ,Syntelopodeuma gracilipes,八溝山
7_疑わしい文献記録,ミコシヤスデ,Diplomaragna gracilipes,36.8529167,140.2097422,1981-X-06,栃木県,本州,L01323,24,ミコシヤスデ,Syntelopodeuma gracilipes,雲巌寺
7_疑わしい文献記録,ミコシヤスデ,Diplomaragna gracilipes,36.70206877,140.2385303,1988-XI-27,栃木県,本州,L01323,24,ミコシヤスデ,Syntelopodeuma gracilipes,鷲子山
7_疑わしい文献記録,ミコシヤスデ,Diplomaragna gracilipes,36.70206877,140.2385303,1988-XI-28,栃木県,本州,L01323,24,ミコシヤスデ,Syntelopodeuma gracilipes,鷲子山
7_疑わしい文献記録,ミコシヤスデ,Diplomaragna gracilipes,36.70206877,140.2385303,1991-III-16,栃木県,本州,L01323,24,ミコシヤスデ,Syntelopodeuma gracilipes,鷲子山
7_疑わしい文献記録,ミコシヤスデ属の一種,Diplomaragna sp.,36.93391344,140.2624448,1988-XI-27,栃木県,本州,L01323,24,ミコシヤスデ属の1種,Syntelopodeuma sp.,八溝山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.70206877,140.2385303,1985-XI-16,栃木県,本州,L01323,25,オビヤスデ属の1種,Epanerchodus sp. (a),鷲子山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.70206877,140.2385303,1988-XI-27,栃木県,本州,L01323,25,オビヤスデ属の1種,Epanerchodus sp. (a),鷲子山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.70206877,140.2385303,1988-XI-28,栃木県,本州,L01323,25,オビヤスデ属の1種,Epanerchodus sp. (a),鷲子山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.70206877,140.2385303,1991-III-16,栃木県,本州,L01323,25,オビヤスデ属の1種,Epanerchodus sp. (a),鷲子山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.93391344,140.2624448,1985-I-08,栃木県,本州,L01323,25,オビヤスデ属の1種,Epanerchodus sp. (b),八溝山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.93391344,140.2624448,1988-XI-27,栃木県,本州,L01323,25,オビヤスデ属の1種,Epanerchodus sp. (b),八溝山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.93391344,140.2624448,1988-XII-04,栃木県,本州,L01323,25,オビヤスデ属の1種,Epanerchodus sp. (b),八溝山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.8529167,140.2097422,1981-X-06,栃木県,本州,L01323,25,オビヤスデ属の1種,Epanerchodus sp. (b),雲巌寺
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.70206877,140.2385303,1985-XI-16,栃木県,本州,L01323,25,オビヤスデ属の1種,Epanerchodus sp. (b),鷲子山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.70206877,140.2385303,1988-XI-27,栃木県,本州,L01323,25,オビヤスデ属の1種,Epanerchodus sp. (b),鷲子山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.70206877,140.2385303,1988-XI-28,栃木県,本州,L01323,25,オビヤスデ属の1種,Epanerchodus sp. (b),鷲子山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.4520026,140.1166736,1981-IX-07,栃木県,本州,L01323,25,オビヤスデ属の1種,Epanerchodus sp. (b),益子町西明寺
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.93391344,140.2624448,1985-XI-25,栃木県,本州,L01323,26,オビヤスデ属の1種,Epanerchodus sp. (c),八溝山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.70206877,140.2385303,1988-XI-27,栃木県,本州,L01323,26,オビヤスデ属の1種,Epanerchodus sp. (c),鷲子山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.70206877,140.2385303,1988-XI-28,栃木県,本州,L01323,26,オビヤスデ属の1種,Epanerchodus sp. (c),鷲子山
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5381376,138.6756713,1990-IV-29,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,白岩沢
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5415667,138.6908177,1990-IV-29,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,上湯原（金花山麓）
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5402269,138.6581012,1990-IV-29,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,小倉
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5669078,138.6504558,1990-XI-18,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,火打花
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5669078,138.6504558,1991-VI-16,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,火打花
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5218732,138.6590139,1990-IV-29,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,須賀尾峠
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5515883,138.7057659,1990-VI-17,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,川原畑
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5468655,138.6843627,1990-VI-17,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,折の沢
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5515883,138.7057659,1990-VI-17,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,川原湯
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5280348,138.6569175,1990-VI-17,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,丸岩
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5280348,138.6569175,1991-VI-16,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,丸岩
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5384773,138.6814559,1990-XI-18,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,堂巌国有林
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5384773,138.6814559,1990-XI-18,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,堂巌国有林
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5384773,138.6814559,1991-XI-24,群馬県,本州,L01242,430,オビヤスデ属の1種 A,Epanerchodus sp. A,堂巌国有林
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5415667,138.6908177,1990-IV-29,群馬県,本州,L01242,430,オビヤスデ属の1種 B,Epanerchodus sp. B,上湯原（金花山麓）
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5669078,138.6504558,1990-IV-29,群馬県,本州,L01242,430,オビヤスデ属の1種 B,Epanerchodus sp. B,火打花
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5669078,138.6504558,1991-VI-16,群馬県,本州,L01242,430,オビヤスデ属の1種 B,Epanerchodus sp. B,火打花
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5669078,138.6504558,1990-XI-18,群馬県,本州,L01242,430,オビヤスデ属の1種 B,Epanerchodus sp. B,火打花
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5515883,138.7057659,1990-VI-17,群馬県,本州,L01242,430,オビヤスデ属の1種 B,Epanerchodus sp. B,川原畑
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5468655,138.6843627,1990-VI-17,群馬県,本州,L01242,430,オビヤスデ属の1種 B,Epanerchodus sp. B,折の沢
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5515883,138.7057659,1990-VI-17,群馬県,本州,L01242,430,オビヤスデ属の1種 B,Epanerchodus sp. B,川原湯
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.5450107,138.6759426,1990-VI-17,群馬県,本州,L01242,430,オビヤスデ属の1種 B,Epanerchodus sp. B,林
