記録の分類_タイプ産地or標本記録or文献記録or疑わしいかどうか,和名,学名,Latitude_assumed,Longitude_assumed,日付,都道府県_jp,島_jp,Genus,Family,Order,文献ID,掲載ページ,オリジナル,文献中の和名,文献中で有効とされる学名_文献紹介など、その文献中で有効とされる学名がわからない場合はハイフンを記入してください。,場所（原文ママ）,メモ,記入者,記入日付
7_疑わしい文献記録,フェルヘフフジヤスデ,Anaulaciulus simplex,40.594659,140.392092,-,青森県,本州,Anaulaciulus,Julidae,Julida,L00147,224,no,-,Fusiulus simplex,Hirosaki 弘前,,Ryosuke Kuwahara,2022-IX-28
7_疑わしい文献記録,ペキンヤケヤスデ,Orthomorphella pekuensis,35.68703416,139.7591481,-,東京都,本州,Orthomorphella,Paradoxosomatidae,Polydesmida,L00212,45,no,-,Orthomorpha (Kalorthomorpha) circofera circofera,東京,,Ryosuke Kuwahara,2022-XI-21
7_疑わしい文献記録,ホルストアマビコヤスデ,Riukiaria holstii,26.521944,127.992028,-,沖縄県,沖縄島,Riukiaria,Xystodesmidae,Polydesmida,L00155,68,no,クロオキナワヤスデ,Riukiaria falcifera,沖繩本島久志川上流,,Ryosuke Kuwahara,2023-VII-20
7_疑わしい文献記録,ヘラババヤスデ,Parafontaria falcifera,36.487538,138.918921,-,群馬県,本州,Parafontaria,Xystodesmidae,Polydesmida,L00155,80,no,ヘラババヤスデ,Japonaria falcifera,伊香保,,Ryosuke Kuwahara,2023-VII-20
7_疑わしい文献記録,フトハシババヤスデ,Parafontaria terminalis,31.59864053,130.5519356,-,鹿児島県,九州,Parafontaria,Xystodesmidae,Polydesmida,L00155,81,no,フトハシババヤスデ,Japonaria terminalis,鹿児島市城山,,Ryosuke Kuwahara,2023-VII-20
7_疑わしい文献記録,ヒガシオビヤスデ,Epanerchodus orientalis,35.459028,139.567417,-,神奈川県,本州,Epanerchodus,Polydesmidae,Polydesmida,L00155,105,no,ヒガシオビヤスデ,Epanerchodus orientalis orientalis,横浜,,Ryosuke Kuwahara,2023-VII-22
7_疑わしい文献記録,フトケヤスデ,Tokyosoma takakuwai,33.717389,132.894417,-,愛媛県,四国,Tokyosoma,Diplomaragnidae,Chordeumatida,L00155,129,no,フトケヤスデ,Tokyosoma takakuwai,皿ヶ嶺 (松山市附近),,Ryosuke Kuwahara,2023-VII-22
7_疑わしい文献記録,トリイリュウガヤスデ,Skleroprotopus toriii,35.960497,139.060989,-,埼玉県,本州,Skleroprotopus,Mongoliulidae,Julida,L00155,141,no,トリイリュウガヤスデ,Skleroprotopus toriii,秩父石灰洞 (埼玉県),,Ryosuke Kuwahara,2023-VII-22
7_疑わしい文献記録,フェルヘフフジヤスデ,Anaulaciulus simplex,40.594659,140.392092,-,青森県,本州,Anaulaciulus,Julidae,Julida,L00155,171,no,フェルヘフフジヤスデ,Fusiulus simplex,弘前,,Ryosuke Kuwahara,2023-IX-25
7_疑わしい文献記録,ヤマシナフジヤスデ,Anaulaciulus yamashinai,28.2678467,129.3621196,-,鹿児島県,奄美大島,Anaulaciulus,Julidae,Julida,L00155,174,no,ヤマシナフジヤスデ,Fusiulus yamashinai,奄美大島,,Ryosuke Kuwahara,2023-IX-25
7_疑わしい文献記録,ヒロサミフジヤスデ,Anaulaciulus hirosaminus,35.68703416,139.7591481,-,東京都,本州,Anaulaciulus,Julidae,Julida,L00155,180,no,ヒロサミフジヤスデ,Fusiulus hirosaminus,東京,,Ryosuke Kuwahara,2023-IX-26
7_疑わしい文献記録,ヒロサミフジヤスデ,Anaulaciulus hirosaminus,35.872722,139.663333,-,埼玉県,本州,Anaulaciulus,Julidae,Julida,L00155,180,no,ヒロサミフジヤスデ,Fusiulus hirosaminus,浦和,,Ryosuke Kuwahara,2023-IX-26
7_疑わしい文献記録,オビババヤスデ,Parafontaria laminata,33.6033758,133.7451842,-,高知県,四国,Parafontaria,Xystodesmidae,Polydesmida,L00162,333,no,オビババヤスデ,Japonaria laminata,高知県竜河洞,,Ryosuke Kuwahara,2022-X-17
7_疑わしい文献記録,オビババヤスデ,Parafontaria laminata,33.5157349,133.3576144,-,高知県,四国,Parafontaria,Xystodesmidae,Polydesmida,L00162,333,no,オビババヤスデ,Japonaria laminata,高知県猿田の穴,,Ryosuke Kuwahara,2022-X-17
7_疑わしい文献記録,フモトオビヤスデ,Epanerchodus acer,35.450964,138.652375,-,山梨県,本州,Epanerchodus,Polydesmidae,Polydesmida,L00162,333,no,フモトオビヤスデ,Epanerchodus acer,静岡県富士風穴,原記載では日本語の記載とドイツ語の記載で採集場所が異なり，山梨県の富士風穴と栃木県日光市が示されている．また，Uéno (1971: p. 210)[L01118]によれば富士風穴からはヤスデは得られておらず，富岳風穴の可能性が指摘されている．上記3地点はいずれも確実な産地とは言えないことから，疑わしい記録として扱う．,Ryosuke Kuwahara,2022-X-17
7_疑わしい文献記録,ムシロオビヤスデ,Epanerchodus fontium,36.567184,136.660292,-,石川県,本州,Epanerchodus,Polydesmidae,Polydesmida,L00162,334,no,ムシロオビヤスデ,Epanerchodus fontium,石川県金沢市,,Ryosuke Kuwahara,2022-X-17
7_疑わしい文献記録,コンピラオビヤスデ,Epanerchodus simplicicornutus,33.598106,133.773651,-,高知県,四国,Epanerchodus,Polydesmidae,Polydesmida,L00162,336,no,コンピラオビヤスデ,Epanerchodus simplicicornutus,高知県香美郡西川村峰の岡洞,同定は疑わしい (桒原 2024: p. 77[L01804]),Ryosuke Kuwahara,2022-X-17
