Lnumber,LID_CSV,LitList
1,L00813,"阿部 茂 (1992) 篠原先生に贈る言葉. Takakuwaia, (24): 23."
2,L00941,"赤間 日吉 (1972) 多足類. 日本大学農獣医学部動植物研究会報, (20): 66–70."
3,L00940,"赤間 日吉・佐藤 喜美雄 (1972) 風穴の生物. 日本大学農獣医学部動植物研究会報, (20): 267–274."
4,L01443,"Almeida T. M., Iniesta L. F. M., Bouzan R. S. and Morais J. W. (2022) So far from home: first record of <i>Chondromorpha xanthotricha</i> (Diplopoda: Polydesmida: Paradoxosomatidae) in the Brazilian Amazon. Acta Amazonica, 52(4): 323–327."
5,L01406,"Antić D. and Mauriès J.-P. (2022) Two new species of the previously monospecific genus <i>Guipuzcosoma</i> Vicente & Mauriès, 1980 from Spain, with establishment of Guipuzcosomatidae fam. nov. (Diplopoda: Chordeumatida). Zootaxa, 5093(2): 142–168."
6,L01545,"青木 淳一 (1991) コムカデ綱 Symphyla. p. 80. In: 青木 淳一 (編) 日本産土壌動物検索図説. 東海大学出版会, 神奈川. 405 figs + 201 pp. ISBN-10: 4-486-01156-2."
7,L00812,"青木 淳一 (1992) 日陰の虫の研究者. Takakuwaia, (24): 23."
8,L01549,"青木 淳一 (1999) 節足動物門多足類コムカデ綱. p. 710. In: 青木 淳一 (編) 日本産土壌動物－分類のための図解検索. 東海大学出版会, 神奈川. 1076 pp. ISBN-10: 4-486-01443-X."
9,L01061,"青木 淳一 (2015) 節足動物門多足亜門コムカデ綱 (結合綱). p. 911–914 In: 青木 淳一 (編) 日本産土壌動物 第二版－分類のための図解検索. 東海大学出版部, 神奈川. XLV + 1969 pp. ISBN-13: 978-4-486-01945-9."
10,L00718,"青木 淳一・原田 洋 (1978) 小笠原諸島の土壌動物相の研究 I. 土壌節足動物の群集構造. 国立科学博物館専報, (11): 91–106."
11,L00925,"青木 良 (1986) ムカデとヤスデ. 採集と飼育, 48(12): 553."
12,L01297,"青山 修三・高野名 敏明 (1977) ヤスデとその薬剤防除試験. サニタレポート, (5): 3–8."
13,L00634,"新垣 和代・平良 淳誠 (2001) ヤンバルトサカヤスデの群遊期における臭気成分. 沖縄県衛生環境研究所報, (35): 47–49."
14,L01180,"荒俣 宏 (1991) 世界大博物図鑑 第1巻 [蟲類]. 平凡社, 東京."
15,L01091,"有馬 忠行・塚本 純司・松永 禎史・竹村 薫・上野 伸広・吉國 謙一郎・新川 奈緒美・榎元 磨加・永田 告治 (1999 (not 2000)) 鹿児島県本土で異常発生したヤンバルトサカヤスデ — 生態，生息分布状況調査 —. 鹿児島県環境保健センター所報, (1): 74–78."
16,L01124,"有馬 忠行・塚本 純司・竹村 薫・本田 俊郎・吉國 謙一郎・上野 伸広・新川 奈緒美・湯又 義勝・永田 告治 (2000 (not 2001)) 鹿児島県本土で異常発生したヤンバルトサカヤスデの生態 — 棲息密度調査 —. 鹿児島県環境保健センター所報, (2): 55–62."
17,L01092,"有馬 忠行・塚本 純司・竹村 薫・永田 告治 (2001 (not 2002)) 鹿児島県本土で異常発生したヤンバルトサカヤスデの発生源対策 — 密度抑圧効果 —. 鹿児島県環境保健センター所報, (3): 55–60."
18,L01715,"浅野 泰久 (2022) ヤスデ由来のヒドロキシニトリルリアーゼの発見と構造に関する研究. 生化学, 94(5): 681–689."
19,L00001,"Attems C. (1898) System der Polydesmiden. I. Theil. Denkschriften der Kaiserlichen Akademie der Wissenschaften. Mathematisch-Naturwissenschaftliche Classe, 67: 221–482."
20,L00002,"Attems C. (1899) System der Polydesmiden, II. Theil. Denkschriften der Kaiserlichen Akademie der Wissenschaften. Mathematisch-Naturwissenschaftliche Classe, 68: 251–436."
21,L01251,"Attems C. (1900) Dr. Brauer's Myriopoden-Ausbeute auf den Seychellen im Jahre 1895. Zoologische Jahrbücher, Abtheilung für Systematik, Geographie und Biologie der Thiere, 13(2): 133–171."
22,L00003,"Attems C. (1901) Neue Polydesmiden des Hamburger Museums. Mitteilungen aus dem Naturhistorischen Museum in Hamburg, 18: 83–107."
23,L01024,Attems C. (1901) Myriopoden. p. 275–310. In: Horváth G. (ed.) Zoologische Ergebnisse der dritten asiatischen Forschungsreise des Grafen Eugen Zichy.
24,L01211,"Attems C. (1907) Javanische Myriopoden, gesammelt von Direktor K. Kraepelin im Jahre 1903. Mitteilungen aus dem Naturhistorischen Museum in Hamburg, 77–142."
25,L00004,"Attems C. (1909) Die Myriopoden der Vega-Expedition. Arkiv för Zoologi, 5(3): 1–84."
26,L00005,"Attems C. (1914) Die Indo-Australischen Myriopoden. Archiv für Naturgeschichte, 80(1): 1–398."
27,L01632,"Attems C. (1930) Myriapoda 2. Scolopendromorpha. Das Tierreich, 54: 1–306."
28,L01418,"Attems C. (1936) Diplopoda of India. Memoirs of the Indian Museum, 11(4): 133–323."
29,L00294,"Attems C. (1937) Myriapoda 3. Polydesmoidea I. Fam. Strongylosomidae. Das Tierreich, 68: 1–300."
30,L01212,"Attems C. (1938) 14. Myriopoden von Hawai. Proceedings of the Zoological Society of London, (B)108(2): 365–387."
31,L00006,"Attems C. (1938) Myriapoda 3. Polydesmoidea II. Fam. Leptodesmidae, Platyrhachidae, Oxydesmidae, Gomphodesmidae. Das Tierreich, 69: 1–487."
32,L00007,"Attems C. (1940) Myriapoda 3. Polydesmoidea III. Fam. Polydesmidae, Vanhoeffeniidae, Cryptodesmidae, Oniscodesmidae, Sphaerotrichopidae, Periodontodesmidae, Rhachidesmidae, Macellolophidae, Pandirodesmidae. Das Tierreich, 70: 1–577."
33,L00405,"Attems C. (1944) Neue Polydesmoidea. Zoologischer Anzeiger, 144(11–12): 223–251."
34,L01590,"Attems C. (1947) Neue Geophilomorpha des Wiener Museums. Annalen des Naturhistorischen Museums in Wien, 55: 50–149."
35,L00008,"Attems C. (1951) Revision systématique des Colobognata (Myriapodes Diplopodes) et description d'espèces nouvelles. Mémoires du Muséum national d'Histoire naturelle, Nouvelle série, Série A, Zoologie, 3(3): 193–231."
36,L01252,"Attems C. (1953) Myriopoden von Indochina Expedition von Dr C. Dawydoff (1938–1939). Mémoires du Muséum national d'Histoire naturelle, Nouvelle série, Série A, Zoologie, 5(3): 133–230."
37,L01570,"Barber A. (2009) Littoral myriapods: a review. Soil Organisms, 81(3): 735–760."
38,L01598,"Barber A. (2011) <i>Thereuonema tuberculata</i>, a scutigeromorph centipede from China, found in a warehouse at Swindon. Bulletin of the British Myriapod & Isopod Group, 25: 49–50."
39,L01407,"Benavides L. R., Edgecombe G. D. and Giribet G. (2023) Re-evaluating and dating myriapod diversification with phylotranscriptomics under a regime of dense taxon sampling. Molecular Phylogenetics and Evolution, 178: 107621."
40,L01221,"Blower J. G. (1979) The millipedes fauna of two British lirnestone woods. p. 203–214 In: Camatini, M. (ed.) Myriapod Biology. Academic Press. London."
41,L00009,"Bollman C. H. (1888 (not 1887)) Description of fourteen new species of North American myriapods. Proceedings of the United States National Museum, 10(670): 617–627"
42,L01416,"Bollman C. H. (1893) The Myriapoda of north America. Bulletin of the United States National Museum, 46: 1–210."
43,L01599,"Bolton S. J., Macleod N. and Edgecombe G. D. (2009) Geometric approaches to the taxonomic analysis of centipede gonopods (Chilopoda: Scutigeromorpha). Zoological Journal of the Linnean Society, 156(2): 239–259."
44,L01195,"Bonato L., Barber A. and Minelli A. (2006) The European centipedes hitherto referred to <i>Eurygeophilus</i>, <i>Mesogeophilus</i>, and <i>Chalandea</i> (Chilopoda, Geophilomorpha): taxonomy, distribution, and geographical variation in segment number. Journal of Natural History, 40(7–8): 415–438."
